0,1,cropandpad,0,0.8762666666666666
1,1,cropandpad,0,0.8756
2,1,cropandpad,0,0.8712
3,1,cropandpad,0,0.8754666666666666
4,1,cropandpad,0,0.8732
5,1,cropandpad,0,0.8710666666666667
6,1,cropandpad,0,0.8770666666666667
7,1,cropandpad,0,0.8685333333333334
8,1,cropandpad,0,0.8713333333333333
9,1,cropandpad,0,0.8777333333333334
0,1,cropandpad,0.05,0.7429333333333333
1,1,cropandpad,0.05,0.7457333333333334
2,1,cropandpad,0.05,0.7430666666666667
3,1,cropandpad,0.05,0.7444
4,1,cropandpad,0.05,0.7434666666666667
5,1,cropandpad,0.05,0.7481333333333333
6,1,cropandpad,0.05,0.7436
7,1,cropandpad,0.05,0.7348
8,1,cropandpad,0.05,0.7432
9,1,cropandpad,0.05,0.7436
0,1,cropandpad,0.1,0.6309333333333333
1,1,cropandpad,0.1,0.6264
2,1,cropandpad,0.1,0.6324
3,1,cropandpad,0.1,0.6330666666666667
4,1,cropandpad,0.1,0.6301333333333333
5,1,cropandpad,0.1,0.6306666666666667
6,1,cropandpad,0.1,0.6288
7,1,cropandpad,0.1,0.6317333333333334
8,1,cropandpad,0.1,0.6237333333333334
9,1,cropandpad,0.1,0.6302666666666666
0,1,cropandpad,0.2,0.5074666666666666
1,1,cropandpad,0.2,0.5056
2,1,cropandpad,0.2,0.5090666666666667
3,1,cropandpad,0.2,0.5093333333333333
4,1,cropandpad,0.2,0.514
5,1,cropandpad,0.2,0.5125333333333333
6,1,cropandpad,0.2,0.514
7,1,cropandpad,0.2,0.5117333333333334
8,1,cropandpad,0.2,0.5138666666666667
9,1,cropandpad,0.2,0.5064
0,1,cropandpad,0.5,0.2988
1,1,cropandpad,0.5,0.2982666666666667
2,1,cropandpad,0.5,0.29733333333333334
3,1,cropandpad,0.5,0.29893333333333333
4,1,cropandpad,0.5,0.30186666666666667
5,1,cropandpad,0.5,0.29346666666666665
6,1,cropandpad,0.5,0.2952
7,1,cropandpad,0.5,0.30186666666666667
8,1,cropandpad,0.5,0.3008
9,1,cropandpad,0.5,0.30186666666666667
0,1,cropandpad,1,0.13746666666666665
1,1,cropandpad,1,0.13466666666666666
2,1,cropandpad,1,0.136
3,1,cropandpad,1,0.136
4,1,cropandpad,1,0.1368
5,1,cropandpad,1,0.13546666666666668
6,1,cropandpad,1,0.13413333333333333
7,1,cropandpad,1,0.12973333333333334
8,1,cropandpad,1,0.136
9,1,cropandpad,1,0.1392
0,1,cropandpad,3,0.0996
1,1,cropandpad,3,0.09813333333333334
2,1,cropandpad,3,0.09986666666666667
3,1,cropandpad,3,0.09613333333333333
4,1,cropandpad,3,0.10013333333333334
5,1,cropandpad,3,0.10466666666666667
6,1,cropandpad,3,0.1016
7,1,cropandpad,3,0.10306666666666667
8,1,cropandpad,3,0.09453333333333333
9,1,cropandpad,3,0.10173333333333333
0,2,cropandpad,0,0.8993333333333333
