n,augs,epsilon,accuracy
5,r-flr-bra,0,0.9149333333333334
5,r-flr-bra,0.01,0.8577333333333333
5,r-flr-bra,0.05,0.7636
5,r-flr-bra,0.1,0.6932
5,r-flr-bra,0.2,0.6242666666666666
5,r-flr-bra,0.5,0.4964
5,r-flr-bra,1,0.35573333333333335
5,r-flr-bra,3,0.14813333333333334
10,r-flr-bra,0,0.9161333333333334
10,r-flr-bra,0.01,0.8561333333333333
10,r-flr-bra,0.05,0.7632
10,r-flr-bra,0.1,0.6864
10,r-flr-bra,0.2,0.6197333333333334
10,r-flr-bra,0.5,0.4992
10,r-flr-bra,1,0.3529333333333333
10,r-flr-bra,3,0.14906666666666665
1,g-r-flr-bra,0,0.8552
1,g-r-flr-bra,0.01,0.8377333333333333
1,g-r-flr-bra,0.05,0.7450666666666667
1,g-r-flr-bra,0.1,0.6724
1,g-r-flr-bra,0.2,0.6053333333333333
1,g-r-flr-bra,0.5,0.466
1,g-r-flr-bra,1,0.3290666666666667
1,g-r-flr-bra,3,0.14706666666666668
2,g-r-flr-bra,0,0.9018666666666667
2,g-r-flr-bra,0.01,0.8497333333333333
2,g-r-flr-bra,0.05,0.7608
2,g-r-flr-bra,0.1,0.6909333333333333
2,g-r-flr-bra,0.2,0.6182666666666666
2,g-r-flr-bra,0.5,0.4888
2,g-r-flr-bra,1,0.3452
2,g-r-flr-bra,3,0.1464
5,g-r-flr-bra,0,0.9144
5,g-r-flr-bra,0.01,0.8550666666666666
5,g-r-flr-bra,0.05,0.7694666666666666
5,g-r-flr-bra,0.1,0.6932
5,g-r-flr-bra,0.2,0.6204
5,g-r-flr-bra,0.5,0.4918666666666667
5,g-r-flr-bra,1,0.35146666666666665
5,g-r-flr-bra,3,0.14706666666666668
10,g-r-flr-bra,0,0.9158666666666667
10,g-r-flr-bra,0.01,0.8577333333333333
10,g-r-flr-bra,0.05,0.7661333333333333
10,g-r-flr-bra,0.1,0.6906666666666667
10,g-r-flr-bra,0.2,0.6189333333333333
10,g-r-flr-bra,0.5,0.4968
10,g-r-flr-bra,1,0.3549333333333333
10,g-r-flr-bra,3,0.1464
