,augments,n,epsilon,accuracy,ece,figure
76,flr,40,0.0,0.9465333333333333,tensor(0.0283),Figure(324x288)
77,flr,40,0.1,0.5850666666666666,tensor(0.3229),Figure(324x288)
78,flr,40,0.2,0.46226666666666666,tensor(0.3950),Figure(324x288)
79,flr,40,0.3,0.3562666666666667,tensor(0.4695),Figure(324x288)
80,bra,2,0.0,0.9437333333333333,tensor(0.0357),Figure(324x288)
81,bra,2,0.1,0.53,tensor(0.4016),Figure(324x288)
82,bra,2,0.2,0.4209333333333333,tensor(0.4796),Figure(324x288)
83,bra,2,0.3,0.3334666666666667,tensor(0.5347),Figure(324x288)
84,bra,5,0.0,0.9442666666666667,tensor(0.0318),Figure(324x288)
85,bra,5,0.1,0.532,tensor(0.3927),Figure(324x288)
86,bra,5,0.2,0.4222666666666667,tensor(0.4620),Figure(324x288)
87,bra,5,0.3,0.32866666666666666,tensor(0.5186),Figure(324x288)
88,bra,10,0.0,0.9446666666666667,tensor(0.0310),Figure(324x288)
89,bra,10,0.1,0.5308,tensor(0.3895),Figure(324x288)
90,bra,10,0.2,0.42373333333333335,tensor(0.4557),Figure(324x288)
91,bra,10,0.3,0.33066666666666666,tensor(0.5099),Figure(324x288)
92,bra,20,0.0,0.9437333333333333,tensor(0.0293),Figure(324x288)
93,bra,20,0.1,0.5305333333333333,tensor(0.3867),Figure(324x288)
94,bra,20,0.2,0.4232,tensor(0.4532),Figure(324x288)
95,bra,20,0.3,0.32853333333333334,tensor(0.5066),Figure(324x288)
96,bra,40,0.0,0.9454666666666667,tensor(0.0315),Figure(324x288)
97,bra,40,0.1,0.5313333333333333,tensor(0.3868),Figure(324x288)
98,bra,40,0.2,0.42213333333333336,tensor(0.4527),Figure(324x288)
99,bra,40,0.3,0.33053333333333335,tensor(0.5029),Figure(324x288)
100,"r,flr,bra",2,0.0,0.9410666666666667,tensor(0.0363),Figure(324x288)
101,"r,flr,bra",2,0.1,0.5768,tensor(0.3401),Figure(324x288)
102,"r,flr,bra",2,0.2,0.46266666666666667,tensor(0.4099),Figure(324x288)
103,"r,flr,bra",2,0.3,0.3662666666666667,tensor(0.4593),Figure(324x288)
104,"r,flr,bra",5,0.0,0.9445333333333333,tensor(0.0321),Figure(324x288)
105,"r,flr,bra",5,0.1,0.5766666666666667,tensor(0.3014),Figure(324x288)
106,"r,flr,bra",5,0.2,0.4632,tensor(0.3658),Figure(324x288)
107,"r,flr,bra",5,0.3,0.3701333333333333,tensor(0.3719),Figure(324x288)
108,"r,flr,bra",10,0.0,0.9454666666666667,tensor(0.0311),Figure(324x288)
109,"r,flr,bra",10,0.1,0.5816,tensor(0.2858),Figure(324x288)
110,"r,flr,bra",10,0.2,0.4648,tensor(0.3366),Figure(324x288)
111,"r,flr,bra",10,0.3,0.372,tensor(0.3504),Figure(324x288)
112,"r,flr,bra",20,0.0,0.9453333333333334,tensor(0.0286),Figure(324x288)
113,"r,flr,bra",20,0.1,0.576,tensor(0.2802),Figure(324x288)
114,"r,flr,bra",20,0.2,0.46426666666666666,tensor(0.3334),Figure(324x288)
115,"r,flr,bra",20,0.3,0.37266666666666665,tensor(0.3302),Figure(324x288)
116,"r,flr,bra",40,0.0,0.9462666666666667,tensor(0.0277),Figure(324x288)
117,"r,flr,bra",40,0.1,0.5782666666666667,tensor(0.2778),Figure(324x288)
118,"r,flr,bra",40,0.2,0.46453333333333335,tensor(0.3280),Figure(324x288)
119,"r,flr,bra",40,0.3,0.3728,tensor(0.3238),Figure(324x288)
120,"g,r,flr,bra",2,0.0,0.9242666666666667,tensor(0.0978),Figure(324x288)
121,"g,r,flr,bra",2,0.1,0.5537333333333333,tensor(0.3191),Figure(324x288)
